LabelID,Name,CategoryID,LabelValue,WorkspaceCode,NewValue
16778220,Lbl_CurrRecCurColsOption,72,Current Records and Displayed Columns,csi,当前记录和显示的列
16778221,Lbl_CurrRecAllColsOption,72,Current Records and All Columns,csi,当前记录和所有的列
16778222,Lbl_PackageSearch,72,Package Search,csi,包搜索
16778223,Lbl_InstanceFilters,72,Instance Filters,csi,实例过滤器
16778224,Lbl_Maximize,72,Maximize,csi,最大化
16778225,Lbl_Restore,72,Restore,csi,还原
16778226,Lbl_InProgress,72,In Progress,csi,进行中
16778227,Lbl_Complete,72,Complete,csi,完成
16778228,Lbl_ApprovePackageCamstar,72,Approve Package (Camstar),csi,批准包 (Camstar)
16778229,Lbl_DataTransferType,72,Data Transfer Type,csi,数据传输类型
16778230,Lbl_InstanceSelection,72,Instance Selection,csi,实例选择
16778231,Lbl_ExecutionConsole,72,Execution Console,csi,执行控制台
16778232,Lbl_NoDocuments,72,No documents.,csi,没有文档。
16778233,Lbl_ShowAll,72,Show All,csi,全部显示
16778234,Lbl_HideAll,72,Hide All,csi,全部隐藏
16778235,Lbl_VisibleColumns,72,Visible Columns,csi,可见列
16778236,Lbl_HiddenColumns,72,Hidden Columns,csi,隐藏列
16778237,Lbl_OneColumnReqiredMsg,72,At least one column must be visible,csi,至少一列必须可见
16778238,Lbl_SelectColumns,72,Select columns,csi,选择列
16778239,Lbl_MachineDown,72,Machine Down,csi,机器已停止
16778240,Lbl_MachineUp,72,Machine Up,csi,机器已运行
16778241,Lbl_MachineNotIntialized,72,Machine Not Initialized,csi,机器未初始化
16778242,Lbl_MfgAuditTrail,72,Mfg Audit Trail,csi,制造审核追踪
16778243,Lbl_SelectedCountFormat,72,{0} selected,csi,{0} 个已选
16778244,Lbl_EprocTaskListSummaryInstruction,72,<b>{0} | </b> {1} | Tasks {2} of {3} executed ({4} of {5} Required)<div><b>Instructions:</b> {6} </div>,csi,<b>{0} | </b> {1} | 已执行 {2} 个任务（共 {3} 个），其中必需任务有 {4} 个（共 {5} 个）<div><b>指示:</b> {6} </div>
16778245,Lbl_AuditTrailHistory,72,Mfg Audit Trail,csi,制造审核追踪
16778246,Lbl_SatisfiedOf,72,Satisfied {0} of {1},csi,满足 {0} 个，共 {1} 个
16778247,Lbl_AttachDocMfgOrderInstance,72,Attach Document to this MfgOrder Instance,csi,将文档附加到此制造订单实例
16778248,Lbl_FieldIsRequired,72,Field {0} is required<br>,csi,字段 {0} 是必填字段<br>
16778249,Lbl_QualityObjectResolution,72,Quality Object Resolution,csi,质量对象解决
16778250,Lbl_InvalidQtyMore,72,"Invalid input. The ""Qty>"" field should only contain integer or fractional numbers, with a dot as a delimiter",csi,输入无效。“数量 >”字段应该只包含整数或分数，由点作为分隔符
16778251,Lbl_InvalidQtyLess,72,"Invalid input. The ""Qty<"" field should only contain integer or fractional numbers, with a dot as a delimiter",csi,输入无效。“数量 <”字段应该只包含整数或分数，由点作为分隔符
16778252,Msg_DisableStudio,72,"The workspace is in CSI Mode, please activate another workspace to login and make changes.",csi,工作区处于 CSI 模式，请激活其他工作区进行登录和更改。
16778253,CSICDOName_ContentChangeHistoryInquiry,30,Content Change History Inquiry,csi,内容更改历史查询
16778254,ContentChangeHistoryInquiry_EndTimestamp,2,End Timestamp,csi,结束时间戳记
16778255,ContentChangeHistoryInquiry_LastChangeUser,2,Last Change User,csi,上次更改用户
16778256,ContentChangeHistoryInquiry_StartTimestamp,2,Start Timestamp,csi,开始时间戳记
16778257,Lbl_Computation,72,Computation,csi,计算
16778258,Lbl_Transaction,72,Transaction,csi,事务
16778259,Lbl_ContentChangeHistory,72,Content Change History,csi,内容更改历史
16778260,Lbl_LastChangeUser,72,Last Change User,csi,上次更改用户
16778261,Lbl_HistoryCreateDeployRange,72,Show all package history,csi,显示所有包历史
16778262,Lbl_HistoryManualRange,72,Select date range,csi,选择日期范围
16778263,CSICDOName_CDOField,30,CDO Field,csi,CDO 字段
16778264,CSICDOName_CDOInstanceInfo,30,CDO Instance Info,csi,CDO 实例信息
16778265,CSICDOName_CDOSubentityField,30,CDO Subentity Field,csi,CDO 子实体字段
16778266,CSICDOName_CDOList,30,CDO List,csi,CDO 列表
16778267,CSICDOName_ModelingInquiry,30,CDO Instance Info Inquiry,csi,CDO 实例信息查询
16778268,CDOField_FieldValue,2,Field Value,csi,字段值
16778269,CDOField_Fields,2,Fields,csi,字段
16778270,CDOField_IsSubentity,2,IsSubentity,csi,IsSubentity
16778271,CDOField_IsObjRef,2,IsObjRef,csi,IsObjRef
16778273,CDOField_ObjectReference,2,Object Refernce,csi,对象引用
16778274,CDOField_Reference,2,Reference,csi,引用
16778276,CDOField_ListCount,2,List Count,csi,列表计数
16778277,CDOSubentityField_aField13,2,CDO Field0,csi,CDO 字段 0
16778278,CDOSubentityField_FieldCount,2,Field Count,csi,字段计数
16778280,ModelingInquiry_IncludeCDOReference,2,IncludeCDOReference,csi,IncludeCDOReference
16778281,ModelingInquiry_CDOInstanceInfo,2,CDO Instance Info,csi,CDO 实例信息
16778282,ModelingInquiry_SubentityDepthToProcess,2,Subentity Depth To Process,csi,要处理的子实体深度
16778283,CDOInstanceInfo_Depth,2,Depth,csi,深度
16778284,EventClassificationSpecMap_PEDefault,2,PE Default,csi,PE 默认
16778285,Lbl_EventClassificationSpecMapsListContainsDuplicate,10,"""Event Classification Spec Maps"" grid contains multiple selected ""PE Default"" check boxes",csi,“事件分类规范映射”表格包含多个选中的“PE 默认”复选框
16778286,Lbl_PEDefaultNotCheckedInEventSpecMap,10,A default Classification and Subclassification must be set for a production event on the Organization modeling object.,csi,必须为“组织”建模对象上的生产事件设置默认的分类和子分类。
16778287,Action_ContentHistory,72,Content History,csi,内容历史
16778288,Lbl_FlyoutPackageDtl,72,"<b>Package Details</b><br/>View all defined properties, instance content, comments & attachments etc.",csi,<b>包详细信息</b><br/>查看所有已定义的属性、实例内容、备注和附件等。
16778289,Lbl_FlyoutActivationImpact,72,<b>Activation Impact</b><br/>Review the impact of activating the current package content on the target database.,csi,<b>激活影响</b><br/>查看激活当前包内容对目标数据库的影响。
16778290,Lbl_FlyoutCCHistory,72,<b>Content Change History</b><br/>View a detailed report of all edits made to the instances assigned to the package since the package was created.,csi,<b>内容更改历史</b><br/>对于指派给包的实例，查看自包创建以来对这些实例所做的编辑的详细报告。
16778291,Lbl_Impact,72,Impact,csi,影响
16778292,Lbl_ChangedField,72,Changed Field,csi,更改的字段
