2026-05-05T12:28:36  DCType - ID: 4726787, Name: CIOCamstarConnection, ParentID: 1020, ParentName: NamedDataObject
2026-05-05T12:28:37  DCType - ID: 4726788, Name: CIOChannelAdapter, ParentID: 1020, ParentName: NamedDataObject
2026-05-05T12:28:37  DCType - ID: 4726786, Name: CIOBuffer, ParentID: 1020, ParentName: NamedDataObject
2026-05-05T12:28:37  DCType - ID: 4726822, Name: CIOInboundAdapterFilters, ParentID: 1070, ParentName: Subentity
2026-05-05T12:28:37  DCType - ID: 4726791, Name: CIOFilter, ParentID: 1020, ParentName: NamedDataObject
2026-05-05T12:28:37  DCType - ID: 4726819, Name: CIOFilterObjects, ParentID: 1070, ParentName: Subentity
2026-05-05T12:28:37  DCType - ID: 4726861, Name: CIOOutboundAdapterFilters, ParentID: 4726822, ParentName: CIOInboundAdapterFilters
2026-05-05T12:28:37  DCType - ID: 4726860, Name: CIOInboundChannelFilters, ParentID: 4726822, ParentName: CIOInboundAdapterFilters
2026-05-05T12:28:37  DCType - ID: 4726862, Name: CIOOutboundChannelFilters, ParentID: 4726822, ParentName: CIOInboundAdapterFilters
2026-05-05T12:28:37  DCType - ID: 4726792, Name: CIOFunction, ParentID: 1020, ParentName: NamedDataObject
2026-05-05T12:28:37  DCType - ID: 4726820, Name: CIOFunctionArgs, ParentID: 1070, ParentName: Subentity
2026-05-05T12:28:37  DCType - ID: 4726793, Name: CIOMessageChannel, ParentID: 1020, ParentName: NamedDataObject
2026-05-05T12:28:37  DCType - ID: 4726797, Name: CIOSystemDispatchRule, ParentID: 1020, ParentName: NamedDataObject
2026-05-05T12:28:37  DCType - ID: 4726839, Name: CIOFunctionItem, ParentID: 1201, ParentName: NamedSubentity
2026-05-05T12:28:37  DCType - ID: 4726796, Name: CIOSettings, ParentID: 1020, ParentName: NamedDataObject
2026-05-05T12:28:37  DCType - ID: 4726785, Name: CIOBinding, ParentID: 1020, ParentName: NamedDataObject
2026-05-05T12:28:37  DCType - ID: 4726824, Name: CIOJournalPersist, ParentID: 1070, ParentName: Subentity
2026-05-05T12:28:37  DCType - ID: 4726831, Name: CIOChannelSourceInquiryDetail, ParentID: 1200, ParentName: ServiceData
2026-05-05T12:28:37  DCType - ID: 4726830, Name: CIOChannelAdapterInquiryDetail, ParentID: 1200, ParentName: ServiceData
2026-05-05T12:28:37  DCType - ID: 4726998, Name: CIOMessageChannelInquiry, ParentID: 1090, ParentName: Inquiry
2026-05-05T12:28:37  DCType - ID: 4726997, Name: CIOMessageTypeInquiryDetail, ParentID: 1200, ParentName: ServiceData
2026-05-05T12:28:37  DCType - ID: 4726827, Name: CIOTemplateWhereUsed, ParentID: 1070, ParentName: Subentity
2026-05-05T12:28:37  DCType - ID: 4726828, Name: CIOWorkflows, ParentID: 1070, ParentName: Subentity
2026-05-05T12:28:37  DCType - ID: 4726864, Name: CIOLogInquiry, ParentID: 1090, ParentName: Inquiry
2026-05-05T12:28:37  DCType - ID: 4726833, Name: CIOLogInquiryDetail, ParentID: 1200, ParentName: ServiceData
2026-05-05T12:28:37  DCType - ID: 4726832, Name: CIOLogAttributeDetail, ParentID: 1200, ParentName: ServiceData
2026-05-05T12:28:37  DCType - ID: 4727004, Name: cioQueryPortalPageInquiry, ParentID: 1090, ParentName: Inquiry
2026-05-05T12:28:37  DCType - ID: 4727001, Name: cioFieldResult, ParentID: 1070, ParentName: Subentity
2026-05-05T12:28:37  DCType - ID: 4727002, Name: cioQPPQuery, ParentID: 1201, ParentName: NamedSubentity
